table_number,table_name,month,period,period_name,geography,Type,category,value,units
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1978,marketing year,US,Area,area_harvested,12400,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1979,marketing year,US,Area,area_harvested,12831,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1980,marketing year,US,Area,area_harvested,13215,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1981,marketing year,US,Area,area_harvested,13841,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1982,marketing year,US,Area,area_harvested,9734,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1983,marketing year,US,Area,area_harvested,7348,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1984,marketing year,US,Area,area_harvested,10379,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1985,marketing year,US,Area,area_harvested,10229,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1986,marketing year,US,Area,area_harvested,8468,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1987,marketing year,US,Area,area_harvested,10030,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1988,marketing year,US,Area,area_harvested,11948,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1989,marketing year,US,Area,area_harvested,9538,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1990,marketing year,US,Area,area_harvested,11730,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1991,marketing year,US,Area,area_harvested,12960,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1992,marketing year,US,Area,area_harvested,11120,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1993,marketing year,US,Area,area_harvested,12780,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1994,marketing year,US,Area,area_harvested,13320,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1995,marketing year,US,Area,area_harvested,16010,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1996,marketing year,US,Area,area_harvested,12888.1,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1997,marketing year,US,Area,area_harvested,13406,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1998,marketing year,US,Area,area_harvested,10684,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1999,marketing year,US,Area,area_harvested,13424.9,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2000,marketing year,US,Area,area_harvested,13053,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2001,marketing year,US,Area,area_harvested,13827.7,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2002,marketing year,US,Area,area_harvested,12416.6,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2003,marketing year,US,Area,area_harvested,12003.4,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2004,marketing year,US,Area,area_harvested,13057,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2005,marketing year,US,Area,area_harvested,13802.6,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2006,marketing year,US,Area,area_harvested,12731.5,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2007,marketing year,US,Area,area_harvested,10489.1,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2008,marketing year,US,Area,area_harvested,7568.7,"1,000 acres"
